report_year,vehicles_type,states_name,register_amount,age_used,short_name
2019,BUSES,Australian Capital Territory,1136,10.4,ACT
2019,MOTOR CYCLES,Australian Capital Territory,13072,10.2,ACT
2020,PASSENGER VEHICLES,Australian Capital Territory,259701,9.5,ACT
2020,CAMPERVANS,Australian Capital Territory,488,17.6,ACT
2020,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,33500,9.4,ACT
2020,LIGHT RIGID TRUCKS,Australian Capital Territory,1384,9.6,ACT
2020,HEAVY RIGID TRUCKS,Australian Capital Territory,1583,11.5,ACT
2020,ARTICULATED TRUCKS,Australian Capital Territory,192,10.7,ACT
2020,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,141,9.4,ACT
2020,BUSES,Australian Capital Territory,1127,10.8,ACT
2020,MOTOR CYCLES,Australian Capital Territory,12932,10.4,ACT
2021,PASSENGER VEHICLES,Australian Capital Territory,264753,9.4,ACT
2021,CAMPERVANS,Australian Capital Territory,511,18.1,ACT
2021,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,34829,9.4,ACT
2021,LIGHT RIGID TRUCKS,Australian Capital Territory,1655,9.3,ACT
2021,HEAVY RIGID TRUCKS,Australian Capital Territory,1649,11.4,ACT
2021,ARTICULATED TRUCKS,Australian Capital Territory,201,11.3,ACT
2021,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,146,9.6,ACT
2021,BUSES,Australian Capital Territory,1047,10.1,ACT
2021,MOTOR CYCLES,Australian Capital Territory,13357,10.8,ACT
