report_year,vehicles_type,states_name,register_amount,age_used
2021,MOTORCYCLES,Victoria,203317,11.20
2016,PASSENGER VEHICLES,Queensland,2715055,9.50
2016,CAMPERVANS,Queensland,14864,14.30
2016,LIGHT COMMERCIAL VEHICLES,Queensland,775864,10.10
2016,LIGHT RIGID TRUCKS,Queensland,35909,11.20
2016,HEAVY RIGID TRUCKS,Queensland,71776,14.50
2016,ARTICULATED TRUCKS,Queensland,20784,11.10
2016,NON-FREIGHT CARRYING VEHICLES,Queensland,5556,11.30
2016,BUSES,Queensland,21455,10.50
2016,MOTOR CYCLES,Queensland,192942,9.60
2017,PASSENGER VEHICLES,Queensland,2777113,9.50
2017,CAMPERVANS,Queensland,15848,14.20
2017,LIGHT COMMERCIAL VEHICLES,Queensland,797839,10.30
2017,LIGHT RIGID TRUCKS,Queensland,36637,11.40
2017,HEAVY RIGID TRUCKS,Queensland,72544,14.70
2017,ARTICULATED TRUCKS,Queensland,21162,11.40
2017,NON-FREIGHT CARRYING VEHICLES,Queensland,5405,11.80
2017,BUSES,Queensland,21361,10.80
2017,MOTOR CYCLES,Queensland,200260,9.90
2018,PASSENGER VEHICLES,Queensland,2837481,9.60
2018,CAMPERVANS,Queensland,16607,14.21
2018,LIGHT COMMERCIAL VEHICLES,Queensland,824950,10.35
2018,LIGHT RIGID TRUCKS,Queensland,38704,11.31
2018,HEAVY RIGID TRUCKS,Queensland,73896,14.79
2018,ARTICULATED TRUCKS,Queensland,22061,11.40
2018,NON-FREIGHT CARRYING VEHICLES,Queensland,5371,11.84
2018,BUSES,Queensland,21831,10.91
2018,MOTOR CYCLES,Queensland,204434,10.14
2019,PASSENGER VEHICLES,Queensland,2878798,9.70
2019,CAMPERVANS,Queensland,17444,14.20
2019,LIGHT COMMERCIAL VEHICLES,Queensland,864268,10.30
2019,LIGHT RIGID TRUCKS,Queensland,40895,11.20
2019,HEAVY RIGID TRUCKS,Queensland,75255,14.80
2019,ARTICULATED TRUCKS,Queensland,22633,11.40
2019,NON-FREIGHT CARRYING VEHICLES,Queensland,5558,12.20
2019,BUSES,Queensland,21944,11.10
2019,MOTOR CYCLES,Queensland,207587,10.50
2020,PASSENGER VEHICLES,Queensland,2919855,9.90
2020,CAMPERVANS,Queensland,18131,14.30
2020,LIGHT COMMERCIAL VEHICLES,Queensland,887239,10.50
2020,LIGHT RIGID TRUCKS,Queensland,43220,11.20
2020,HEAVY RIGID TRUCKS,Queensland,76083,14.90
2020,ARTICULATED TRUCKS,Queensland,23106,11.50
2020,NON-FREIGHT CARRYING VEHICLES,Queensland,5444,12.30
2020,BUSES,Queensland,21989,11.50
2020,MOTORCYCLES,Queensland,210033,10.80
2021,PASSENGER VEHICLES,Queensland,2975229,10.10
2021,CAMPERVANS,Queensland,18608,14.70
2021,LIGHT COMMERCIAL VEHICLES,Queensland,917546,10.70
2021,LIGHT RIGID TRUCKS,Queensland,45628,11.30
2021,HEAVY RIGID TRUCKS,Queensland,77569,15.10
2021,ARTICULATED TRUCKS,Queensland,23541,11.70
2021,NON-FREIGHT CARRYING VEHICLES,Queensland,5476,12.20
2021,BUSES,Queensland,21196,11.80
2021,MOTORCYCLES,Queensland,218920,11.20
2016,PASSENGER VEHICLES,South Australia,1061776,11.30
2016,CAMPERVANS,South Australia,4164,21.20
2016,LIGHT COMMERCIAL VEHICLES,South Australia,199058,11.20
2016,LIGHT RIGID TRUCKS,South Australia,7104,12.10
2016,HEAVY RIGID TRUCKS,South Australia,22886,16.70
2016,ARTICULATED TRUCKS,South Australia,8423,11.20
2016,NON-FREIGHT CARRYING VEHICLES,South Australia,1874,14.60
2016,BUSES,South Australia,5691,11.20
2016,MOTOR CYCLES,South Australia,53724,10.90
2017,PASSENGER VEHICLES,South Australia,1075081,11.30
2017,CAMPERVANS,South Australia,4223,21.30
2017,LIGHT COMMERCIAL VEHICLES,South Australia,205786,11.30
2017,LIGHT RIGID TRUCKS,South Australia,7172,12.30
2017,HEAVY RIGID TRUCKS,South Australia,23096,16.90
2017,ARTICULATED TRUCKS,South Australia,8638,11.60
2017,NON-FREIGHT CARRYING VEHICLES,South Australia,1853,15.20
2017,BUSES,South Australia,5766,11.50
2017,MOTOR CYCLES,South Australia,54389,11.30
2018,PASSENGER VEHICLES,South Australia,1090572,11.42
2018,CAMPERVANS,South Australia,4400,20.85
2018,LIGHT COMMERCIAL VEHICLES,South Australia,212739,11.26
2018,LIGHT RIGID TRUCKS,South Australia,7394,12.35
2018,HEAVY RIGID TRUCKS,South Australia,22918,16.65
2018,ARTICULATED TRUCKS,South Australia,8797,11.45
2018,NON-FREIGHT CARRYING VEHICLES,South Australia,1868,15.08
2018,BUSES,South Australia,5947,11.73
2018,MOTOR CYCLES,South Australia,54325,11.59
2019,PASSENGER VEHICLES,South Australia,1101140,11.60
2019,CAMPERVANS,South Australia,4929,21.30
2019,LIGHT COMMERCIAL VEHICLES,South Australia,220456,11.30
2019,LIGHT RIGID TRUCKS,South Australia,7676,12.30
2019,HEAVY RIGID TRUCKS,South Australia,22828,16.30
2019,ARTICULATED TRUCKS,South Australia,8892,11.40
2019,NON-FREIGHT CARRYING VEHICLES,South Australia,1875,15.00
2019,BUSES,South Australia,5909,11.80
2019,MOTOR CYCLES,South Australia,55223,12.10
2020,PASSENGER VEHICLES,South Australia,1110427,11.70
2020,CAMPERVANS,South Australia,5050,21.00
2020,LIGHT COMMERCIAL VEHICLES,South Australia,226726,11.30
2020,LIGHT RIGID TRUCKS,South Australia,7947,12.30
2020,HEAVY RIGID TRUCKS,South Australia,22713,16.20
2020,ARTICULATED TRUCKS,South Australia,8837,11.50
2020,NON-FREIGHT CARRYING VEHICLES,South Australia,1863,15.20
2020,BUSES,South Australia,6077,11.50
2020,MOTORCYCLES,South Australia,55320,12.50
2021,PASSENGER VEHICLES,South Australia,1131199,11.90
2021,CAMPERVANS,South Australia,5452,21.30
2021,LIGHT COMMERCIAL VEHICLES,South Australia,235666,11.50
2021,LIGHT RIGID TRUCKS,South Australia,8267,12.30
2021,HEAVY RIGID TRUCKS,South Australia,22874,16.10
2021,ARTICULATED TRUCKS,South Australia,9021,11.70
2021,NON-FREIGHT CARRYING VEHICLES,South Australia,1888,15.20
2021,BUSES,South Australia,6008,11.80
2021,MOTORCYCLES,South Australia,57524,12.70
2016,PASSENGER VEHICLES,Western Australia,1583939,10.10
2016,CAMPERVANS,Western Australia,8154,22.60
2016,LIGHT COMMERCIAL VEHICLES,Western Australia,380403,10.70
2016,LIGHT RIGID TRUCKS,Western Australia,17293,11.10
2016,HEAVY RIGID TRUCKS,Western Australia,54219,17.10
2016,ARTICULATED TRUCKS,Western Australia,15609,12.10
2016,NON-FREIGHT CARRYING VEHICLES,Western Australia,5214,15.90
2016,BUSES,Western Australia,15362,11.00
2016,MOTOR CYCLES,Western Australia,128619,11.30
2017,PASSENGER VEHICLES,Western Australia,1593001,10.30
2017,CAMPERVANS,Western Australia,8020,22.80
2017,LIGHT COMMERCIAL VEHICLES,Western Australia,383778,10.90
2017,LIGHT RIGID TRUCKS,Western Australia,17502,11.40
2017,HEAVY RIGID TRUCKS,Western Australia,53899,17.40
2017,ARTICULATED TRUCKS,Western Australia,15242,12.60
2017,NON-FREIGHT CARRYING VEHICLES,Western Australia,5244,16.10
2017,BUSES,Western Australia,14746,11.10
2017,MOTOR CYCLES,Western Australia,127859,11.90
2018,PASSENGER VEHICLES,Western Australia,1602966,10.48
2018,CAMPERVANS,Western Australia,7993,22.99
2018,LIGHT COMMERCIAL VEHICLES,Western Australia,388178,11.06
2018,LIGHT RIGID TRUCKS,Western Australia,18107,11.47
2018,HEAVY RIGID TRUCKS,Western Australia,53367,17.76
2018,ARTICULATED TRUCKS,Western Australia,15368,12.89
2018,NON-FREIGHT CARRYING VEHICLES,Western Australia,5277,16.39
2018,BUSES,Western Australia,14661,11.45
2018,MOTOR CYCLES,Western Australia,125647,12.46
2019,PASSENGER VEHICLES,Western Australia,1611974,10.70
2019,CAMPERVANS,Western Australia,7994,22.90
2019,LIGHT COMMERCIAL VEHICLES,Western Australia,393709,11.20
2019,LIGHT RIGID TRUCKS,Western Australia,18894,11.50
2019,HEAVY RIGID TRUCKS,Western Australia,53228,17.90
2019,ARTICULATED TRUCKS,Western Australia,15833,13.10
2019,NON-FREIGHT CARRYING VEHICLES,Western Australia,5154,16.50
2019,BUSES,Western Australia,14698,11.60
2019,MOTOR CYCLES,Western Australia,123487,13.10
2020,PASSENGER VEHICLES,Western Australia,1631779,11.00
2020,CAMPERVANS,Western Australia,8336,23.00
2020,LIGHT COMMERCIAL VEHICLES,Western Australia,406009,11.60
2020,LIGHT RIGID TRUCKS,Western Australia,19071,12.00
2020,HEAVY RIGID TRUCKS,Western Australia,54112,18.20
2020,ARTICULATED TRUCKS,Western Australia,16206,13.40
2020,NON-FREIGHT CARRYING VEHICLES,Western Australia,5056,15.30
2020,BUSES,Western Australia,14945,11.70
2020,MOTORCYCLES,Western Australia,123245,13.70
2021,PASSENGER VEHICLES,Western Australia,1653342,11.20
2021,CAMPERVANS,Western Australia,8405,22.90
2021,LIGHT COMMERCIAL VEHICLES,Western Australia,417115,11.60
2021,LIGHT RIGID TRUCKS,Western Australia,19987,11.80
2021,HEAVY RIGID TRUCKS,Western Australia,54718,18.20
2021,ARTICULATED TRUCKS,Western Australia,17086,13.70
2021,NON-FREIGHT CARRYING VEHICLES,Western Australia,5100,15.20
2021,BUSES,Western Australia,15042,11.60
2021,MOTORCYCLES,Western Australia,123917,14.10
2016,PASSENGER VEHICLES,Tasmania,316904,12.20
2016,CAMPERVANS,Tasmania,4588,21.90
2016,LIGHT COMMERCIAL VEHICLES,Tasmania,99346,13.30
2016,LIGHT RIGID TRUCKS,Tasmania,3356,14.60
2016,HEAVY RIGID TRUCKS,Tasmania,8838,17.80
2016,ARTICULATED TRUCKS,Tasmania,1721,10.90
2016,NON-FREIGHT CARRYING VEHICLES,Tasmania,965,16.70
2016,BUSES,Tasmania,2818,15.10
2016,MOTOR CYCLES,Tasmania,19093,12.00
2017,PASSENGER VEHICLES,Tasmania,324174,12.30
2017,CAMPERVANS,Tasmania,4714,22.30
2017,LIGHT COMMERCIAL VEHICLES,Tasmania,102580,13.40
2017,LIGHT RIGID TRUCKS,Tasmania,3581,14.60
2017,HEAVY RIGID TRUCKS,Tasmania,8999,17.90
2017,ARTICULATED TRUCKS,Tasmania,1808,11.10
2017,NON-FREIGHT CARRYING VEHICLES,Tasmania,972,17.00
2017,BUSES,Tasmania,2859,15.30
2017,MOTOR CYCLES,Tasmania,19780,12.50
2018,PASSENGER VEHICLES,Tasmania,330910,12.32
2018,CAMPERVANS,Tasmania,4883,22.33
2018,LIGHT COMMERCIAL VEHICLES,Tasmania,106102,13.43
2018,LIGHT RIGID TRUCKS,Tasmania,3773,14.68
2018,HEAVY RIGID TRUCKS,Tasmania,9271,18.04
2018,ARTICULATED TRUCKS,Tasmania,1900,11.24
2018,NON-FREIGHT CARRYING VEHICLES,Tasmania,942,16.92
2018,BUSES,Tasmania,2906,15.46
2018,MOTOR CYCLES,Tasmania,20248,12.88
2019,PASSENGER VEHICLES,Tasmania,338229,12.40
2019,CAMPERVANS,Tasmania,5021,22.40
2019,LIGHT COMMERCIAL VEHICLES,Tasmania,110109,13.50
2019,LIGHT RIGID TRUCKS,Tasmania,4053,14.50
2019,HEAVY RIGID TRUCKS,Tasmania,9510,18.10
2019,ARTICULATED TRUCKS,Tasmania,2057,11.30
2019,NON-FREIGHT CARRYING VEHICLES,Tasmania,941,17.10
2019,BUSES,Tasmania,3008,15.30
2019,MOTOR CYCLES,Tasmania,20430,13.40
2020,PASSENGER VEHICLES,Tasmania,345929,12.50
2020,CAMPERVANS,Tasmania,5157,22.30
2020,LIGHT COMMERCIAL VEHICLES,Tasmania,114299,13.50
2020,LIGHT RIGID TRUCKS,Tasmania,4281,14.50
2020,HEAVY RIGID TRUCKS,Tasmania,9761,18.10
2020,ARTICULATED TRUCKS,Tasmania,2140,11.40
2020,NON-FREIGHT CARRYING VEHICLES,Tasmania,993,17.10
2020,BUSES,Tasmania,3112,14.90
2020,MOTORCYCLES,Tasmania,20719,13.80
2021,PASSENGER VEHICLES,Tasmania,349959,12.90
2021,CAMPERVANS,Tasmania,5283,22.80
2021,LIGHT COMMERCIAL VEHICLES,Tasmania,118901,13.70
2021,LIGHT RIGID TRUCKS,Tasmania,4543,14.60
2021,HEAVY RIGID TRUCKS,Tasmania,10042,18.30
2021,ARTICULATED TRUCKS,Tasmania,2245,11.70
2021,NON-FREIGHT CARRYING VEHICLES,Tasmania,1064,16.90
2021,BUSES,Tasmania,3042,14.90
2021,MOTORCYCLES,Tasmania,21372,14.30
2016,PASSENGER VEHICLES,Northern Territory,95196,8.90
2016,CAMPERVANS,Northern Territory,223,19.40
2016,LIGHT COMMERCIAL VEHICLES,Northern Territory,44419,9.10
2016,LIGHT RIGID TRUCKS,Northern Territory,623,12.60
2016,HEAVY RIGID TRUCKS,Northern Territory,4724,12.90
2016,ARTICULATED TRUCKS,Northern Territory,1259,12.10
2016,NON-FREIGHT CARRYING VEHICLES,Northern Territory,368,13.60
2016,BUSES,Northern Territory,3964,9.10
2016,MOTOR CYCLES,Northern Territory,6941,7.70
2017,PASSENGER VEHICLES,Northern Territory,94142,9.00
2017,CAMPERVANS,Northern Territory,214,20.00
2017,LIGHT COMMERCIAL VEHICLES,Northern Territory,43854,9.20
2017,LIGHT RIGID TRUCKS,Northern Territory,633,13.10
2017,HEAVY RIGID TRUCKS,Northern Territory,4633,13.20
2017,ARTICULATED TRUCKS,Northern Territory,1145,12.70
2017,NON-FREIGHT CARRYING VEHICLES,Northern Territory,357,14.10
2017,BUSES,Northern Territory,3768,9.40
2017,MOTOR CYCLES,Northern Territory,6616,8.00
2018,PASSENGER VEHICLES,Northern Territory,100118,9.15
2018,CAMPERVANS,Northern Territory,218,19.95
2018,LIGHT COMMERCIAL VEHICLES,Northern Territory,44730,9.35
2018,LIGHT RIGID TRUCKS,Northern Territory,723,13.15
2018,HEAVY RIGID TRUCKS,Northern Territory,4718,13.57
2018,ARTICULATED TRUCKS,Northern Territory,1149,13.01
2018,NON-FREIGHT CARRYING VEHICLES,Northern Territory,362,13.66
2018,BUSES,Northern Territory,3911,9.55
2018,MOTOR CYCLES,Northern Territory,6571,8.49
2019,PASSENGER VEHICLES,Northern Territory,99687,9.30
2019,CAMPERVANS,Northern Territory,193,20.30
2019,LIGHT COMMERCIAL VEHICLES,Northern Territory,44975,9.50
2019,LIGHT RIGID TRUCKS,Northern Territory,860,12.60
2019,HEAVY RIGID TRUCKS,Northern Territory,4638,13.80
2019,ARTICULATED TRUCKS,Northern Territory,1163,13.20
2019,NON-FREIGHT CARRYING VEHICLES,Northern Territory,376,14.20
2019,BUSES,Northern Territory,3647,9.90
2019,MOTOR CYCLES,Northern Territory,6096,8.70
2020,PASSENGER VEHICLES,Northern Territory,99311,9.50
2020,CAMPERVANS,Northern Territory,189,19.90
2020,LIGHT COMMERCIAL VEHICLES,Northern Territory,44762,9.70
2020,LIGHT RIGID TRUCKS,Northern Territory,769,12.80
2020,HEAVY RIGID TRUCKS,Northern Territory,4593,13.90
2020,ARTICULATED TRUCKS,Northern Territory,1171,13.10
2020,NON-FREIGHT CARRYING VEHICLES,Northern Territory,388,14.30
2020,BUSES,Northern Territory,3532,10.40
2020,MOTORCYCLES,Northern Territory,5759,9.10
2021,PASSENGER VEHICLES,Northern Territory,100676,9.90
2021,CAMPERVANS,Northern Territory,211,20.00
2021,LIGHT COMMERCIAL VEHICLES,Northern Territory,45502,10.00
2021,LIGHT RIGID TRUCKS,Northern Territory,799,13.20
2021,HEAVY RIGID TRUCKS,Northern Territory,4647,14.30
2021,ARTICULATED TRUCKS,Northern Territory,1221,13.40
2021,NON-FREIGHT CARRYING VEHICLES,Northern Territory,379,13.80
2021,BUSES,Northern Territory,3328,10.60
2021,MOTORCYCLES,Northern Territory,5878,9.20
2016,PASSENGER VEHICLES,Australian Capital Territory,240946,9.30
2016,CAMPERVANS,Australian Capital Territory,444,19.10
2016,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,29817,9.40
2016,LIGHT RIGID TRUCKS,Australian Capital Territory,1044,10.20
2016,HEAVY RIGID TRUCKS,Australian Capital Territory,1621,11.70
2016,ARTICULATED TRUCKS,Australian Capital Territory,160,10.10
2016,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,132,9.10
2016,BUSES,Australian Capital Territory,1051,11.20
2016,MOTOR CYCLES,Australian Capital Territory,13102,9.60
2017,PASSENGER VEHICLES,Australian Capital Territory,247171,9.30
2017,CAMPERVANS,Australian Capital Territory,436,18.10
2017,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,30696,9.50
2017,LIGHT RIGID TRUCKS,Australian Capital Territory,1190,9.80
2017,HEAVY RIGID TRUCKS,Australian Capital Territory,1614,11.50
2017,ARTICULATED TRUCKS,Australian Capital Territory,169,10.40
2017,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,135,9.20
2017,BUSES,Australian Capital Territory,1043,11.00
